"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 1985","27.56","27.56","27.75","24.56","637.33K","12.21%"
"Dec 30, 1984","24.56","24.56","24.94","24.19","112.40K","-0.77%"
"Dec 23, 1984","24.75","24.75","24.94","24.00","138.27K","-0.76%"
"Dec 16, 1984","24.94","24.94","25.31","23.81","346.60K","3.10%"
"Dec 09, 1984","24.19","24.19","24.56","22.50","371.13K","2.41%"
"Dec 02, 1984","23.62","23.62","24.19","23.44","205.47K","-3.12%"
"Nov 25, 1984","24.38","24.38","25.50","23.81","240.40K","-4.39%"
"Nov 18, 1984","25.50","25.50","25.69","24.38","391.53K","3.03%"
"Nov 11, 1984","24.75","24.75","26.81","24.75","326.00K","-7.02%"
"Nov 04, 1984","26.62","26.62","27.56","24.56","322.53K","5.18%"
"Oct 28, 1984","25.31","25.31","27.00","24.94","222.20K","-7.56%"
"Oct 21, 1984","27.38","27.38","28.12","26.62","211.27K","1.41%"
"Oct 14, 1984","27.00","27.00","29.25","26.62","202.67K","-7.69%"
"Oct 07, 1984","29.25","29.25","30.19","28.50","198.00K","-1.25%"
"Sep 30, 1984","29.62","29.62","31.31","27.38","515.47K","1.93%"
"Sep 23, 1984","29.06","29.06","29.62","28.50","173.40K","-1.89%"
"Sep 16, 1984","29.62","29.62","30.00","29.25","339.67K","1.93%"
"Sep 09, 1984","29.06","29.06","30.38","29.06","233.40K","-4.91%"
"Sep 02, 1984","30.56","30.56","31.88","28.69","265.40K","1.23%"
"Aug 26, 1984","30.19","30.19","30.94","29.44","241.40K","0.63%"
"Aug 19, 1984","30.00","30.00","30.19","27.38","473.67K","5.97%"
"Aug 12, 1984","28.31","28.31","30.19","27.94","405.80K","-5.03%"
"Aug 05, 1984","29.81","29.81","31.50","25.31","1.34M","9.64%"
"Jul 29, 1984","27.19","27.19","28.12","23.81","2.16M","0.70%"
"Jul 22, 1984","27.00","27.00","33.00","26.62","1.68M","-18.18%"
"Jul 15, 1984","33.00","33.00","34.12","32.81","699.53K","-3.28%"
"Jul 08, 1984","34.12","34.12","34.50","33.38","332.00K","-1.64%"
"Jul 01, 1984","34.69","34.69","35.44","34.31","515.80K","0.55%"
"Jun 24, 1984","34.50","34.50","36.19","33.75","817.13K","-3.14%"
"Jun 17, 1984","35.62","35.62","36.38","35.44","367.47K","0.00%"
"Jun 10, 1984","35.62","35.62","36.19","35.06","447.93K","-0.53%"
